,Year,Coal,Petroleum,Natural Gas,Other Gases,Nuclear,Hydro,Wood,Waste,Geothermal,Solar,Wind
0,1949,45.7,9.6,12.5,,,32.0,0.1,,,,
1,1950,46.3,10.1,13.3,,,30.2,0.1,,,,
2,1951,49.3,7.7,15.1,,,27.8,0.1,,,,
3,1952,48.4,7.4,17.0,,,27.2,0.1,,,,
4,1953,49.0,8.6,17.8,,,24.5,0.1,,,,
5,1954,50.2,6.6,19.7,,,23.4,0.1,,,,
6,1955,54.8,6.7,17.3,,,21.1,0.1,,,,
7,1956,56.1,6.0,17.2,,,20.7,0.0,,,,
8,1957,54.6,6.4,18.0,,0.0,21.0,0.0,,,,
9,1958,53.1,6.2,18.5,,0.0,22.1,0.0,,,,
10,1959,53.0,6.6,20.6,,0.0,19.8,0.0,,,,
11,1960,53.1,6.3,20.8,,0.1,19.7,0.0,,0.0,,
12,1961,52.9,6.1,21.2,,0.2,19.5,0.0,,0.0,,
13,1962,52.5,5.7,21.5,,0.3,20.0,0.0,,0.0,,
14,1963,53.7,5.7,21.9,,0.3,18.4,0.0,,0.0,,
15,1964,53.3,5.8,22.3,,0.3,18.3,0.0,,0.0,,
16,1965,53.9,6.1,20.9,,0.3,18.6,0.0,,0.0,,
17,1966,53.5,6.9,21.9,,0.5,17.2,0.0,,0.0,,
18,1967,51.8,7.3,21.7,,0.6,18.5,0.0,,0.0,,
19,1968,51.4,7.8,22.8,,0.9,16.9,0.0,,0.0,,
20,1969,48.8,9.5,23.1,,1.0,17.5,0.0,,0.0,,
21,1970,45.9,12.0,24.3,,1.4,16.3,0.0,0.0,0.0,,
22,1971,44.1,13.6,23.1,,2.4,16.7,0.0,0.0,0.0,,
23,1972,44.0,15.6,21.4,,3.1,15.7,0.0,0.0,0.1,,
24,1973,45.5,16.9,18.3,,4.5,14.8,0.0,0.0,0.1,,
25,1974,44.3,16.1,17.1,,6.1,16.3,0.0,0.0,0.1,,
26,1975,44.4,15.1,15.6,,9.0,15.8,0.0,0.0,0.2,,
27,1976,46.3,15.7,14.4,,9.4,14.1,0.0,0.0,0.2,,
28,1977,46.3,16.8,14.4,,11.8,10.5,0.0,0.0,0.2,,
29,1978,44.2,16.5,13.8,,12.5,12.8,0.0,0.0,0.1,,
30,1979,47.8,13.5,14.6,,11.3,12.6,0.0,0.0,0.2,,
31,1980,50.7,10.7,15.1,,11.0,12.2,0.0,0.0,0.2,,
32,1981,52.4,9.0,15.0,,11.9,11.5,0.0,0.0,0.2,,
33,1982,53.1,6.5,13.6,,12.6,13.9,0.0,0.0,0.2,,
34,1983,54.4,6.2,11.8,,12.7,14.5,0.0,0.0,0.3,,0.0
35,1984,55.5,5.0,12.3,,13.5,13.4,0.0,0.0,0.3,0.0,0.0
36,1985,56.7,4.1,11.8,,15.5,11.5,0.0,0.0,0.4,0.0,0.0
37,1986,55.6,5.5,10.0,,16.6,11.8,0.0,0.0,0.4,0.0,0.0
38,1987,56.8,4.6,10.6,,17.7,9.8,0.0,0.0,0.4,0.0,0.0
39,1988,56.9,5.5,9.3,,19.5,8.4,0.0,0.0,0.4,0.0,0.0
