Year,Type,Generation Percent
1949,Coal,45.7
1949,Petroleum,9.6
1949,Natural Gas,12.5
1949,Other Gases,0.0
1949,Nuclear,0.0
1949,Hydro,32.0
1949,Wood,0.1
1949,Waste,0.0
1949,Geothermal,0.0
1949,Solar,0.0
1949,Wind,0.0
1950,Coal,46.3
1950,Petroleum,10.1
1950,Natural Gas,13.3
1950,Other Gases,0.0
1950,Nuclear,0.0
1950,Hydro,30.2
1950,Wood,0.1
1950,Waste,0.0
1950,Geothermal,0.0
1950,Solar,0.0
1950,Wind,0.0
1951,Coal,49.3
1951,Petroleum,7.7
1951,Natural Gas,15.1
1951,Other Gases,0.0
1951,Nuclear,0.0
1951,Hydro,27.8
1951,Wood,0.1
1951,Waste,0.0
1951,Geothermal,0.0
1951,Solar,0.0
1951,Wind,0.0
1952,Coal,48.4
1952,Petroleum,7.4
1952,Natural Gas,17.0
1952,Other Gases,0.0
1952,Nuclear,0.0
1952,Hydro,27.2
1952,Wood,0.1
1952,Waste,0.0
1952,Geothermal,0.0
1952,Solar,0.0
1952,Wind,0.0
1953,Coal,49.0
1953,Petroleum,8.6
1953,Natural Gas,17.8
1953,Other Gases,0.0
1953,Nuclear,0.0
1953,Hydro,24.5
1953,Wood,0.1
1953,Waste,0.0
1953,Geothermal,0.0
1953,Solar,0.0
1953,Wind,0.0
1954,Coal,50.2
1954,Petroleum,6.6
1954,Natural Gas,19.7
1954,Other Gases,0.0
1954,Nuclear,0.0
1954,Hydro,23.4
1954,Wood,0.1
1954,Waste,0.0
1954,Geothermal,0.0
1954,Solar,0.0
1954,Wind,0.0
1955,Coal,54.8
1955,Petroleum,6.7
1955,Natural Gas,17.3
1955,Other Gases,0.0
1955,Nuclear,0.0
1955,Hydro,21.1
1955,Wood,0.1
1955,Waste,0.0
1955,Geothermal,0.0
1955,Solar,0.0
1955,Wind,0.0
1956,Coal,56.1
1956,Petroleum,6.0
1956,Natural Gas,17.2
1956,Other Gases,0.0
1956,Nuclear,0.0
1956,Hydro,20.7
1956,Wood,0.0
